Br. Merenja,Merenje
1,3.09
2,3.01
3,2.94
4,3.15
5,2.88
6,3.16
7,3.03
8,3.22
9,2.95
10,3.01
11,3.02
12,2.9
13,2.89
14,2.95
15,3.02
16,2.89
17,3.02
18,2.95
19,3.01
20,3.01
21,2.96
22,3.01
23,2.95
24,3.03
25,2.88
26,2.94
27,3.02
28,2.95
29,3.01
30,3.02
31,3.09
32,3.01
33,2.94
34,3.02
35,3.16
36,3.02
37,3.02
38,3.09
39,2.89
40,2.68
41,3.02
42,2.87
43,3.03
44,3.02
45,2.89
46,3.16
47,3.02
48,3.11
49,2.89
50,3.15
51,2.96
52,2.95
53,3.23
54,2.96
55,3.02
56,3.02
57,3.01
58,3.15
59,3.02
60,3.01
61,2.94
62,2.96
63,2.88
64,2.82
65,3.21
66,3.03
67,3.11
68,3.09
69,3.02
70,3.01
71,2.87
72,2.94
73,2.96
74,3.15
75,3.01
76,3.08
77,2.95
78,3.02
79,2.96
80,2.94
81,2.96
82,2.96
83,3.22
84,3.08
85,2.95
86,3.09
87,2.94
88,3.08
89,2.88
90,3.07
91,3.03
92,3.02
93,2.92
94,3.02
95,3.08
96,3.01
97,3.01
98,2.81
99,2.89
100,3
